,OBJECTID,IncidentSi,POOFips,geometry,year,month,day,FireCause_Human,FireCause_Natural,FireCause_Undetermined,FireCause_Unknown,POOCounty_Aleutians East,POOCounty_Aleutians West,POOCounty_Anchorage,POOCounty_Bethel,POOCounty_Bristol Bay,POOCounty_Denali,POOCounty_Dillingham,POOCounty_Fairbanks North Star,POOCounty_Juneau,POOCounty_Kenai Peninsula,POOCounty_Kodiak Island,POOCounty_Kusilvak,POOCounty_Lake and Peninsula,POOCounty_Matanuska-Susitna,POOCounty_Nome,POOCounty_North Slope,POOCounty_Northwest Arctic,POOCounty_Southeast Fairbanks,POOCounty_Valdez-Cordova,POOCounty_Wade Hampton,POOCounty_Yukon-Koyukuk,POOLandown_ANCSA,POOLandown_BIA,POOLandown_BLM,POOLandown_County,POOLandown_DOD,POOLandown_DOE,POOLandown_NPS,POOLandown_Private,POOLandown_State,POOLandown_Tribal,POOLandown_USFS,POOLandown_USFWS,distance_to_blackspruce,distance_to_paperbirch,distance_to_whitespruce,distance_to_aspen,distance_to_poplar
267,90345,8236.1,02290,POINT (43685.9328504892 1580550.381150132),2015,6,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,196.8543658365678,565.8742223441103,49808.54146566592,45800.10360875952
271,90620,178.2,02270,POINT (-474828.1098002796 1386770.9103257975),2017,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7904.337913261889,8437.565918984983,10.041321139005237,127830.81706926614,128415.53320645241
273,90718,1000.4,02050,POINT (-338775.9137989965 1284154.5582604043),2015,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3877.728718349353,1599.3593620565694,17010.902006833778,55737.03033747579,36888.61752297792
279,90998,97568.1,02290,POINT (33998.65529950931 1660664.858512774),2019,6,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,39.85851277410983,3332.8161736355496,7158.964014300769,4751.250231496187
280,91066,104.6,02068,POINT (250918.8507909878 1561225.5370233653),2022,8,20,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2410.8230378642284,1678.7949910233795,0.0,23776.664358571546,23864.980400550936
293,91599,34.9,02290,POINT (88727.90980355543 1732624.910730264),2015,7,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,783.3195445818579,10267.731734032579,1340.4636020643597,40886.614389696864
302,92074,39.4,02158,POINT (-471269.3636343584 1461036.2985664906),2022,5,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18012.067379530425,24878.77437911699,16325.48216534424,120020.65310227578,119541.62631874558
304,92148,190.0,02070,POINT (-369641.7710549766 1025555.445612212),2015,4,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1066.8239059346995,69169.3285294002,4609.0441917964,171278.04686473074,3325.6516700474576
308,92392,33.7,02188,POINT (-361743.63351187593 1931655.2341404909),2021,6,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,115283.5283318004,232479.08332412486,21275.127253487306,235701.12975688605,178852.1619725828
313,92867,22613.0,02050,POINT (-490533.3009267225 1292544.6537411325),2015,6,23,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21025.896122362916,31983.621297773938,43569.32288125516,164967.98602310597,157467.66913550955
